TargetID,ProbeID,9993942002_A.AVG_Signal,9993942002_A.Detection Pval,9993942002_A.BEAD_STDERR,9993942002_A.Avg_NBEADS,9993942002_B.AVG_Signal,9993942002_B.Detection Pval,9993942002_B.BEAD_STDERR,9993942002_B.Avg_NBEADS,9993942002_C.AVG_Signal,9993942002_C.Detection Pval,9993942002_C.BEAD_STDERR,9993942002_C.Avg_NBEADS,9993942002_D.AVG_Signal,9993942002_D.Detection Pval,9993942002_D.BEAD_STDERR,9993942002_D.Avg_NBEADS,9993942002_E.AVG_Signal,9993942002_E.Detection Pval,9993942002_E.BEAD_STDERR,9993942002_E.Avg_NBEADS,9993942002_F.AVG_Signal,9993942002_F.Detection Pval,9993942002_F.BEAD_STDERR,9993942002_F.Avg_NBEADS,9993942002_G.AVG_Signal,9993942002_G.Detection Pval,9993942002_G.BEAD_STDERR,9993942002_G.Avg_NBEADS,9993942002_H.AVG_Signal,9993942002_H.Detection Pval,9993942002_H.BEAD_STDERR,9993942002_H.Avg_NBEADS
NEGATIVE,5900187,182.4226,0.3621554,11.85496,29,163.6803,0.6879699,6.727549,33,184.1549,0.3696742,10.26273,28,206.4082,0.1616541,17.91391,31,173.8808,0.4924812,8.113029,30,178.224,0.4912281,8.576529,34,169.3528,0.7155389,9.135622,42,194.4497,0.3984962,11.43152,29
NEGATIVE,5900292,169.3247,0.593985,9.583324,32,195.6518,0.2318296,11.33495,33,199.3906,0.2380952,9.676266,37,195.3448,0.2368421,11.48068,39,185.4511,0.339599,8.091563,41,179.4534,0.4686717,7.5029,42,198.3002,0.2844611,9.967712,34,219.6107,0.1654135,10.41306,40
NEGATIVE,5900398,200.9781,0.197995,13.96029,37,161.732,0.7318296,6.742754,43,181.3635,0.4210526,9.854545,41,163.7187,0.7268171,5.972141,42,170.9415,0.537594,5.971103,47,181.3497,0.4348371,8.336278,42,179.3945,0.5213032,7.796533,40,187.4229,0.518797,8.752806,30
NEGATIVE,5910338,165.7257,0.6654136,7.768674,34,167.0169,0.6140351,8.095772,37,168.3591,0.6491228,9.053467,37,182.8123,0.3721805,13.08404,31,159.5842,0.7907268,7.335906,38,183.6375,0.4022556,11.60978,32,171.9356,0.6741855,7.807211,39,197.8664,0.3533835,11.64079,29
NEGATIVE,5910414,203.2671,0.1829574,9.160984,34,261.9854,0.02631579,17.2683,32,274.2258,0.03258145,13.28082,37,230.6132,0.07142857,12.23265,31,238.861,0.05764411,11.81193,29,215.2055,0.1278196,11.41371,33,252.3558,0.05012531,19.40002,24,238.124,0.07894737,11.80777,32
NEGATIVE,5960156,177.3004,0.4398496,5.878551,44,191.2717,0.2593985,8.787084,50,186.7226,0.3408521,8.172444,40,194.6497,0.245614,6.525587,47,189.7821,0.2869674,6.917003,32,193.7059,0.2568922,8.108397,33,204.2041,0.2280702,8.920908,35,187.4299,0.5175439,8.69947,36
NEGATIVE,5960184,216.8575,0.1090226,15.55086,26,214.224,0.1165414,13.04079,24,216.8867,0.131579,13.72844,29,249.7108,0.03383459,17.71523,23,200.5078,0.2142857,9.020462,37,203.2063,0.1904762,12.11194,32,197.2171,0.2982456,8.416625,30,228.6457,0.1190476,19.58941,20
NEGATIVE,5960592,164.4266,0.6892231,11.3414,27,152.6832,0.877193,7.785485,28,168.8051,0.641604,11.69256,32,161.9721,0.7593985,8.742261,34,157.9576,0.8283208,7.472457,48,181.0421,0.4398496,10.40303,31,151.0151,0.962406,7.186275,36,181.9911,0.6152882,10.69456,28
NEGATIVE,5960722,181.2506,0.3809524,11.73602,30,140.5043,0.9849624,8.206236,28,192.4116,0.2869674,11.15277,25,142.1615,0.9824561,7.941332,29,182.8338,0.3709273,13.20894,31,172.8363,0.5989975,8.861763,27,179.2426,0.5263158,7.080142,32,177.4662,0.6929824,6.798275,26
NEGATIVE,6020465,155.8416,0.8408521,6.113543,34,145.2169,0.9536341,8.51412,35,146.4321,0.9636592,7.977802,27,142.8777,0.9774436,9.67411,20,146.8991,0.952381,9.433411,22,164.7598,0.7606516,9.763304,35,131.3583,1,5.006444,38,160.4044,0.9223058,6.542198,26
