TargetID,ProbeID,3999279026_A.AVG_Signal,3999279026_A.Detection Pval,3999279026_A.BEAD_STDERR,3999279026_A.Avg_NBEADS,3999279026_B.AVG_Signal,3999279026_B.Detection Pval,3999279026_B.BEAD_STDERR,3999279026_B.Avg_NBEADS,3999279026_C.AVG_Signal,3999279026_C.Detection Pval,3999279026_C.BEAD_STDERR,3999279026_C.Avg_NBEADS,3999279026_D.AVG_Signal,3999279026_D.Detection Pval,3999279026_D.BEAD_STDERR,3999279026_D.Avg_NBEADS,3999279026_E.AVG_Signal,3999279026_E.Detection Pval,3999279026_E.BEAD_STDERR,3999279026_E.Avg_NBEADS,3999279026_F.AVG_Signal,3999279026_F.Detection Pval,3999279026_F.BEAD_STDERR,3999279026_F.Avg_NBEADS,3999279026_G.AVG_Signal,3999279026_G.Detection Pval,3999279026_G.BEAD_STDERR,3999279026_G.Avg_NBEADS,3999279026_H.AVG_Signal,3999279026_H.Detection Pval,3999279026_H.BEAD_STDERR,3999279026_H.Avg_NBEADS
NEGATIVE,6250047,194.3073,0.3220551,7.530815,39,183.2449,0.3458647,9.285524,39,162.8444,0.6528822,8.174518,33,181.2375,0.3521303,9.417258,35,178.5943,0.7681704,11.52144,34,195.5877,0.5238096,7.54182,41,169.9553,0.6892231,5.550941,40,219.5818,0.2042606,13.3171,28
NEGATIVE,6250113,208.0038,0.2218045,10.02049,31,206.8572,0.1629073,11.69189,23,198.8647,0.1867168,12.01504,30,185.4589,0.3057644,10.86374,40,211.4949,0.3446115,12.50518,34,264.3153,0.05639098,19.01188,33,178.54,0.5338346,8.743189,32,219.0778,0.2105263,11.77956,30
NEGATIVE,6270041,146.1897,0.9548872,9.572156,30,150.4768,0.8546366,6.062879,34,142.7751,0.924812,9.753801,20,149.576,0.877193,7.096168,30,181.3237,0.7218045,10.4713,33,185.1645,0.7142857,10.03228,31,154.9722,0.9398496,7.400032,39,180.5444,0.6854637,8.883964,29
NEGATIVE,6270274,180.3296,0.4799499,9.345686,27,162.972,0.660401,8.9786,34,165.0193,0.6015037,7.38321,45,168.1253,0.5576441,6.519158,47,204.2317,0.424812,10.95863,35,238.33,0.141604,14.13701,43,182.856,0.4649123,7.580505,39,197.5065,0.4097744,8.923818,33
NEGATIVE,6270300,167.8639,0.6879699,8.114945,28,212.7212,0.1365915,14.12778,26,174.2233,0.4448622,16.74133,15,167.6769,0.5651629,12.05879,25,178.8369,0.7606516,11.32498,35,172.3803,0.9035088,9.302369,34,177.1125,0.5576441,13.0153,26,210.8277,0.2656642,12.62245,28
NEGATIVE,6280121,168.6521,0.6754386,7.242328,32,178.0259,0.4097744,9.470079,33,175.5704,0.4273183,8.574352,47,190.8589,0.2669173,12.66904,32,191.5441,0.5526316,11.76408,43,175.16,0.8709273,9.186197,36,182.4983,0.4661654,8.865131,32,211.4729,0.2593985,13.13924,41
NEGATIVE,6280343,173.4618,0.593985,10.5566,28,135.9374,0.9736842,8.547704,27,150.9903,0.8258145,8.909896,28,139.7883,0.9636592,8.19398,32,177.2312,0.7907268,13.84814,31,179.4458,0.8157895,12.39594,30,169.5477,0.6992481,7.897856,33,168.9378,0.8508772,15.60438,23
NEGATIVE,6280360,170.3828,0.6553885,8.48335,36,136.6306,0.9674186,7.517968,30,181.8527,0.3408521,14.55654,34,154.414,0.8157895,8.21375,36,188.2799,0.6165413,13.90285,35,186.9715,0.6779448,9.094916,39,174.6032,0.6090226,9.663291,28,168.2262,0.8609022,9.324349,34
NEGATIVE,6290097,231.1965,0.1090226,11.95122,32,203.9205,0.1804511,13.13173,28,213.1379,0.1328321,11.37926,40,235.4666,0.07769424,11.4712,36,228.8029,0.2105263,16.23142,30,227.3683,0.2117794,10.14171,42,249.931,0.05513784,16.24376,35,223.1603,0.1854637,12.80231,35
NEGATIVE,6290431,181.4117,0.4636591,9.856852,41,183.8333,0.3370927,9.668997,37,178.9142,0.3759398,10.45204,30,159.6667,0.7192982,9.007411,40,215.8831,0.2994987,16.02704,38,193.679,0.5651629,10.79206,39,173.0662,0.6315789,8.119944,38,183.5608,0.622807,8.591514,40
NEGATIVE,6290608,174.1017,0.5789474,13.23684,26,185.5736,0.320802,13.0062,20,167.8526,0.5526316,13.91504,27,169.4263,0.5350877,10.05019,23,227.3864,0.216792,16.14862,35,228.1877,0.2055138,11.85317,21,194.2638,0.3120301,13.19475,34,198.8515,0.3859649,10.39714,32
NEGATIVE,6330433,187.3919,0.3934837,13.10336,28,171.3429,0.5100251,7.454613,34,189.5583,0.2431078,11.76129,32,162.3935,0.6553885,9.503519,31,181.4055,0.7180451,8.903202,37,186.1672,0.6954888,8.189747,34,181.4063,0.4862155,9.088572,40,176.5495,0.7443609,8.305877,39
NEGATIVE,6330468,206.9187,0.2318296,14.32669,39,180.9828,0.3671679,7.535253,31,216.5301,0.1240602,20.68366,31,170.9234,0.5162907,9.445029,34,217.4294,0.2857143,13.75161,34,184.6406,0.7305765,8.519469,33,187.439,0.3934837,9.626244,47,193.0716,0.4674186,11.4768,36
NEGATIVE,6330494,197.8644,0.2869674,10.92437,38,194.0145,0.2493734,16.62689,23,177.6218,0.3997494,8.167292,38,193.0619,0.2431078,12.22661,36,221.7377,0.2581454,12.63566,26,207.2277,0.3696742,7.300296,48,189.4136,0.3646617,11.81318,36,197.4024,0.4135338,9.360834,36
